textbox1
 Nutrient Status % of pH - Uttar Pradesh 

Textbox124,district_name,AS_,SrAc_,HAc_,MAc_,SlAc_,N_,MAl_,SlAl_
1,Agra,28.57,0.00,0.00,0.00,0.00,0.00,71.43,0.00
2,Aligarh,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
3,Ambedkar Nagar,0.00,0.00,0.00,0.16,2.63,0.49,96.55,0.16
4,Amethi,0.00,0.00,0.00,0.00,0.00,0.00,90.00,10.00
5,Auraiya,0.00,0.00,0.00,0.00,6.98,2.33,90.70,0.00
6,Ayodhya,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
7,Balrampur,0.00,0.00,0.00,0.00,16.28,0.00,23.26,60.47
8,Barabanki,0.00,0.00,0.00,0.00,0.00,33.33,66.67,0.00
9,Bareilly,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
10,Bijnor,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
11,Budaun,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
12,Bulandshahr,0.00,0.00,0.00,0.00,0.00,23.53,76.47,0.00
13,Chandauli,0.00,0.00,0.00,10.49,19.14,0.00,70.37,0.00
14,Chitrakoot,0.00,0.00,0.00,0.00,0.00,13.33,86.67,0.00
15,Etah,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
16,Fatehpur,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
17,Firozabad,0.00,0.00,0.00,1.44,4.33,0.66,93.44,0.13
18,Gautam Buddha Nagar,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
19,Ghaziabad,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
20,Gonda,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
21,Hamirpur,0.00,0.00,0.00,0.00,3.17,7.94,88.89,0.00
22,Hardoi,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
23,Jaunpur,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
24,Jhansi,0.00,0.00,0.00,0.00,0.00,7.09,92.91,0.00
25,Kasganj,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
26,Kaushambi,0.00,0.00,0.00,0.00,0.00,16.89,82.43,0.68
27,Kheri,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
28,Lalitpur,0.11,0.00,0.00,0.00,0.32,16.67,82.91,0.00
29,Lucknow,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
30,Maharajganj,0.00,0.00,0.00,0.00,0.00,1.01,98.99,0.00
31,Mathura,0.00,0.00,0.00,0.00,0.00,8.00,68.00,24.00
32,Mau,0.23,0.90,1.35,7.00,0.00,0.45,89.84,0.23
33,Mirzapur,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
34,Muzaffarnagar,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
35,Pilibhit,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
36,Pratapgarh,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
37,Saharanpur,0.00,0.00,0.00,0.00,0.00,2.02,97.98,0.00
38,Sant Kabeer Nagar,0.00,0.00,0.00,50.00,16.67,0.00,33.33,0.00
39,Shravasti,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
40,Sitapur,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
41,Sultanpur,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
42,Varanasi,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00

