textbox1
 Nutrient Status % of pH - Maharashtra 

Textbox124,district_name,AS_,SrAc_,HAc_,MAc_,SlAc_,N_,MAl_,SlAl_
1,Ahmednagar,2.73,0.91,0.00,0.00,0.91,0.00,86.36,9.09
2,Akola,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
3,Amravati,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
4,Beed,0.00,0.06,0.00,0.06,0.50,0.62,98.63,0.12
5,Bhandara,0.00,1.19,7.14,76.19,4.76,0.00,10.71,0.00
6,Buldhana,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
7,Chandrapur,0.00,0.00,0.00,4.55,54.55,18.18,22.73,0.00
8,Dhule,0.11,0.00,0.11,4.12,19.63,1.37,74.05,0.60
9,Gadchiroli,0.00,0.00,0.00,0.19,2.60,0.05,97.12,0.05
10,Gondia,0.00,0.00,3.70,77.78,14.81,0.00,3.70,0.00
11,Hingoli,0.00,0.00,0.00,0.00,0.60,0.00,99.40,0.00
12,Jalgaon,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
13,Latur,0.00,0.00,0.00,0.00,0.00,0.00,99.01,0.99
14,Nagpur,0.00,1.23,19.75,38.27,13.58,0.00,27.16,0.00
15,Nanded,0.00,0.00,0.00,0.00,5.18,0.15,94.66,0.00
16,Nandurbar,0.00,0.00,3.70,29.63,18.52,3.70,40.74,3.70
17,Nashik,0.00,0.00,0.99,20.86,12.36,0.11,64.57,1.10
18,Osmanabad,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
19,Palghar,0.00,0.00,0.00,9.68,61.29,0.00,29.03,0.00
20,Parbhani,0.00,0.00,0.00,0.00,0.00,0.74,99.26,0.00
21,Pune,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
22,Raigad,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
23,Ratnagiri,0.00,0.00,21.04,78.96,0.00,0.00,0.00,0.00
24,Sangli,0.00,0.00,0.00,0.00,0.00,0.00,79.64,20.36
25,Satara,0.00,0.00,0.00,1.95,1.95,3.04,82.00,11.06
26,Solapur,0.55,0.08,0.00,0.08,0.23,0.16,97.66,1.25
27,Wardha,0.00,0.00,0.12,5.65,2.76,1.61,89.75,0.12
28,Washim,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
29,Yavatmal,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00

