textbox1
 Nutrient Status % of pH - Haryana 

Textbox124,district_name,AS_,SrAc_,HAc_,MAc_,SlAc_,N_,MAl_,SlAl_
1,Ambala,0.05,0.00,0.00,0.05,0.32,1.39,94.21,3.97
2,Bhiwani,0.00,0.00,0.00,0.00,0.00,0.00,99.78,0.22
3,Faridabad,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
4,Gurgaon,0.00,0.00,0.00,0.00,0.00,0.00,99.22,0.78
5,Hisar,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
6,Jhajjar,0.00,0.00,0.00,0.60,1.80,0.80,95.21,1.60
7,Jind,0.00,0.00,0.00,0.33,0.54,1.41,97.59,0.13
8,Kaithal,0.00,0.00,0.00,0.00,0.40,0.00,74.70,24.90
9,Kurukshetra,0.10,0.00,0.00,0.99,3.36,3.06,92.09,0.40
10,Mahendragarh,0.00,0.00,0.00,2.13,0.54,0.09,97.11,0.14
11,Mewat,0.08,0.00,0.00,0.00,1.04,0.14,96.22,2.52
12,Palwal,0.00,0.00,0.00,0.00,0.00,0.10,98.34,1.56
13,Panchkula,0.00,0.00,0.14,10.08,15.30,2.43,71.98,0.07
14,Panipat,0.00,0.00,0.00,0.00,0.00,0.29,95.91,3.80
15,Rohtak,0.00,0.00,0.00,0.00,0.57,0.00,97.92,1.51
16,Sonipat,0.00,0.00,0.00,0.31,1.87,0.62,96.89,0.31

