textbox1
 Nutrient Status % of pH - Jammu And Kashmir 

Textbox124,district_name,AS_,SrAc_,HAc_,MAc_,SlAc_,N_,MAl_,SlAl_
1,Anantnag,0.00,0.00,0.00,0.00,50.00,0.00,25.00,25.00
2,Badgam,0.00,0.00,0.00,8.63,20.77,21.73,48.88,0.00
3,Bandipora,0.20,0.00,0.00,10.98,81.91,2.85,3.86,0.20
4,Baramulla,0.00,0.00,0.03,17.19,47.17,4.32,31.29,0.00
5,Doda,0.00,0.00,5.00,49.17,19.17,5.83,20.83,0.00
6,Ganderbal,0.00,0.00,0.00,5.85,4.88,1.71,87.20,0.37
7,Jammu,0.13,0.00,0.00,6.96,25.03,16.60,51.27,0.00
8,Kathua,0.00,0.00,2.52,39.57,18.71,7.55,31.65,0.00
9,Kishtwar,0.00,0.00,0.00,13.16,38.16,5.26,43.42,0.00
10,Kulgam,0.00,1.51,2.64,33.50,20.03,2.14,38.54,1.64
11,Kupwara,0.00,0.15,0.31,27.18,62.65,0.51,9.11,0.10
12,Poonch,0.00,0.00,0.00,15.87,28.57,0.00,55.56,0.00
13,Pulwama,0.00,0.00,0.00,26.44,31.03,9.20,33.33,0.00
14,Rajauri,0.00,0.00,0.00,3.27,24.84,11.11,60.78,0.00
15,Ramban,0.00,0.00,1.09,32.49,39.02,2.54,24.14,0.73
16,Reasi,0.00,0.00,0.00,44.44,44.44,0.00,11.11,0.00
17,Samba,0.00,0.00,5.44,9.94,32.65,11.07,40.90,0.00
18,Shopian,0.00,0.62,9.26,43.21,36.42,1.85,8.64,0.00
19,Srinagar,0.00,0.00,0.00,1.69,1.69,0.00,80.34,16.29
20,Udhampur,0.00,0.35,0.00,5.24,42.13,18.01,34.27,0.00

