textbox1
 Nutrient Status % of pH - Bihar 

Textbox124,district_name,AS_,SrAc_,HAc_,MAc_,SlAc_,N_,MAl_,SlAl_
1,Araria,0.00,2.59,15.86,45.95,8.09,0.32,27.18,0.00
2,Arwal,0.00,0.00,6.25,2.08,2.08,2.08,85.42,2.08
3,Aurangabad,0.00,0.00,0.00,1.55,11.40,0.00,83.42,3.63
4,Banka,2.27,3.41,7.95,2.27,5.68,1.14,69.32,7.95
5,Begusarai,0.00,0.00,8.33,8.33,8.33,0.00,75.00,0.00
6,Bhagalpur,0.00,0.00,0.00,8.02,30.86,0.00,61.11,0.00
7,Bhojpur,0.00,0.00,0.19,5.00,10.49,0.29,82.00,2.02
8,Buxar,0.27,0.00,3.81,17.71,12.81,0.54,64.31,0.54
9,Darbhanga,0.27,0.00,0.27,5.43,15.76,0.00,70.92,7.34
10,Gaya,0.31,0.00,0.62,0.62,7.79,0.00,90.65,0.00
11,Gopalganj,0.26,0.00,0.13,1.28,0.77,0.00,94.22,3.34
12,Jamui,0.24,0.24,6.70,23.68,8.37,0.48,58.61,1.67
13,Kaimur (Bhabua),0.00,0.00,0.00,5.56,19.44,0.00,72.22,2.78
14,Katihar,0.18,0.09,2.65,49.78,19.18,1.28,26.76,0.09
15,Khagaria,0.00,0.00,0.00,0.62,7.85,10.12,81.40,0.00
16,Kishanganj,0.00,2.66,57.14,34.22,3.65,0.00,2.33,0.00
17,Lakhisarai,0.00,0.00,0.05,3.51,9.02,0.38,86.72,0.32
18,Madhepura,0.00,0.00,12.35,40.33,14.81,1.65,30.86,0.00
19,Madhubani,0.00,0.00,0.38,5.57,44.43,0.27,49.26,0.09
20,Munger,0.00,0.00,1.84,20.07,18.90,0.00,57.36,1.84
21,Muzaffarpur,0.00,0.00,0.00,1.01,0.00,0.00,93.33,5.66
22,Nalanda,0.00,0.00,0.30,11.26,29.53,0.30,58.60,0.00
23,Nawada,0.45,0.00,0.00,7.73,19.09,0.91,71.82,0.00
24,Pashchim Champaran,0.00,0.00,1.48,7.22,17.74,2.35,71.04,0.17
25,Patna,0.00,0.00,0.00,3.03,22.03,7.66,67.19,0.09
26,Purbi Champaran,0.23,0.00,0.05,2.61,9.59,0.55,85.54,1.43
27,Purnia,0.00,3.10,31.19,38.10,12.62,3.10,11.90,0.00
28,Rohtas,0.00,0.00,0.46,24.36,28.90,0.59,45.62,0.07
29,Saharsa,0.00,0.00,7.42,11.66,10.60,0.71,61.48,8.13
30,Samastipur,0.00,0.00,0.10,0.19,1.56,0.06,97.93,0.16
31,Saran,0.00,0.00,0.00,0.04,0.08,0.04,98.05,1.78
32,Sheikhpura,0.00,0.00,0.00,12.15,20.99,6.08,60.77,0.00
33,Sheohar,0.00,0.00,0.00,6.35,15.87,3.17,74.60,0.00
34,Sitamarhi,0.00,0.00,1.42,11.31,16.81,0.56,68.29,1.61
35,Siwan,0.00,0.00,0.51,1.03,0.51,0.00,89.74,8.21
36,Supaul,0.00,0.00,1.13,7.94,25.93,8.59,56.24,0.16
37,Vaishali,0.24,0.00,0.00,0.24,0.24,0.00,64.51,34.77

