Textbox14
Micro Nutrients Status for  

Textbox12,State_Name,B_S,B_D,Cu_S,Cu_D,Fe_S,Fe_D,Mn_S,Mn_D,S_S,S_D,Zn_S,Zn_D,SampleNo,SamplesEntered,Textbox8,Textbox15,SHCPrinted1,Textbox4,Textbox16,Textbox19,Textbox24,Textbox27,Textbox30,Textbox33,Textbox36,Textbox39
1,Andhra Pradesh,12,7,13,6,13,6,14,5,19,0,14,5,16,"222,890","198,221","433,220","24,999","352,773","110,756","388,946","70,848","303,885","144,111","297,613","171,517","582,040"
2,Assam,3,106,107,0,109,0,107,1,109,0,107,2,113,"222,890","198,221","433,220","24,999","352,773","110,756","388,946","70,848","303,885","144,111","297,613","171,517","582,040"
3,Bihar,"3,073",448,"3,610",141,"3,163",592,"3,069",655,"3,374",386,"2,637","1,117",45,"222,890","198,221","433,220","24,999","352,773","110,756","388,946","70,848","303,885","144,111","297,613","171,517","582,040"
4,Chhattisgarh,"15,011","3,722","18,263",470,"18,190",543,"17,214","1,520","15,427","3,307","15,451","3,282","5,226","222,890","198,221","433,220","24,999","352,773","110,756","388,946","70,848","303,885","144,111","297,613","171,517","582,040"
5,Goa,"1,728","1,776","2,723",467,"3,167",24,"3,129",57,"2,065","1,440","2,291",901,"7,386","222,890","198,221","433,220","24,999","352,773","110,756","388,946","70,848","303,885","144,111","297,613","171,517","582,040"
6,Gujarat,37,59,75,21,45,51,83,13,93,3,27,69,257,"222,890","198,221","433,220","24,999","352,773","110,756","388,946","70,848","303,885","144,111","297,613","171,517","582,040"
7,Haryana,174,"1,227","13,901",452,"15,487","3,252","17,047","1,624","18,084",654,"16,653","2,083","24,923","222,890","198,221","433,220","24,999","352,773","110,756","388,946","70,848","303,885","144,111","297,613","171,517","582,040"
8,Himachal Pradesh,"7,986",439,"26,245",527,"25,523","1,262","24,191","2,450","9,619",289,"24,693","2,053","49,327","222,890","198,221","433,220","24,999","352,773","110,756","388,946","70,848","303,885","144,111","297,613","171,517","582,040"
9,Jammu And Kashmir,"1,132","1,364","8,872","1,008","7,100","2,783","5,984","3,835","5,922","1,419","7,980","1,899","71,333","222,890","198,221","433,220","24,999","352,773","110,756","388,946","70,848","303,885","144,111","297,613","171,517","582,040"
10,Jharkhand,"4,696","1,256","5,775",204,"5,423",578,"5,142",845,"4,150","2,211","4,948","1,058","11,794","222,890","198,221","433,220","24,999","352,773","110,756","388,946","70,848","303,885","144,111","297,613","171,517","582,040"
